video,start_frame,end_frame,label
Subject1Activity1Trial1Camera1,50,64,Normal
Subject1Activity1Trial1Camera1,65,79,Pre-fall
Subject1Activity1Trial1Camera1,80,139,Fall
Subject1Activity1Trial1Camera2,50,64,Normal
Subject1Activity1Trial1Camera2,65,79,Pre-fall
Subject1Activity1Trial1Camera2,80,139,Fall
Subject1Activity1Trial2Camera1,5,19,Normal
Subject1Activity1Trial2Camera1,20,29,Pre-fall
Subject1Activity1Trial2Camera1,30,89,Fall
Subject1Activity1Trial2Camera2,5,19,Normal
Subject1Activity1Trial2Camera2,20,29,Pre-fall
Subject1Activity1Trial2Camera2,30,89,Fall
Subject1Activity1Trial3Camera1,5,19,Normal
Subject1Activity1Trial3Camera1,20,29,Pre-fall
Subject1Activity1Trial3Camera1,30,89,Fall
Subject1Activity1Trial3Camera2,5,19,Normal
Subject1Activity1Trial3Camera2,20,29,Pre-fall
Subject1Activity1Trial3Camera2,30,89,Fall
Subject1Activity2Trial1Camera1,6,20,Normal
Subject1Activity2Trial1Camera1,21,31,Pre-fall
Subject1Activity2Trial1Camera1,32,91,Fall
Subject1Activity2Trial1Camera2,0,14,Normal
Subject1Activity2Trial1Camera2,15,31,Pre-fall
Subject1Activity2Trial1Camera2,32,91,Fall
Subject1Activity2Trial2Camera1,12,26,Normal
Subject1Activity2Trial2Camera1,27,32,Pre-fall
Subject1Activity2Trial2Camera1,33,92,Fall
Subject1Activity2Trial2Camera2,5,19,Normal
Subject1Activity2Trial2Camera2,20,32,Pre-fall
Subject1Activity2Trial2Camera2,33,92,Fall
Subject1Activity2Trial3Camera1,2,16,Normal
Subject1Activity2Trial3Camera1,17,33,Pre-fall
Subject1Activity2Trial3Camera1,34,93,Fall
Subject1Activity2Trial3Camera2,2,16,Normal
Subject1Activity2Trial3Camera2,17,33,Pre-fall
Subject1Activity2Trial3Camera2,34,93,Fall
Subject1Activity3Trial1Camera1,12,26,Normal
Subject1Activity3Trial1Camera1,27,37,Pre-fall
Subject1Activity3Trial1Camera1,38,97,Fall
Subject1Activity3Trial1Camera2,9,23,Normal
Subject1Activity3Trial1Camera2,24,30,Pre-fall
Subject1Activity3Trial1Camera2,31,90,Fall
Subject1Activity3Trial2Camera1,12,26,Normal
Subject1Activity3Trial2Camera1,27,34,Pre-fall
Subject1Activity3Trial2Camera1,35,94,Fall
Subject1Activity3Trial2Camera2,8,22,Normal
Subject1Activity3Trial2Camera2,23,30,Pre-fall
Subject1Activity3Trial2Camera2,31,90,Fall
Subject1Activity3Trial3Camera1,10,24,Normal
Subject1Activity3Trial3Camera1,25,31,Pre-fall
Subject1Activity3Trial3Camera1,32,91,Fall
Subject1Activity3Trial3Camera2,1,15,Normal
Subject1Activity3Trial3Camera2,16,28,Pre-fall
Subject1Activity3Trial3Camera2,29,88,Fall
Subject1Activity4Trial1Camera1,3,17,Normal
Subject1Activity4Trial1Camera1,18,26,Pre-fall
Subject1Activity4Trial1Camera1,27,86,Fall
Subject1Activity4Trial1Camera2,0,13,Normal
Subject1Activity4Trial1Camera2,14,25,Pre-fall
Subject1Activity4Trial1Camera2,26,85,Fall
Subject1Activity4Trial2Camera1,3,17,Normal
Subject1Activity4Trial2Camera1,18,27,Pre-fall
Subject1Activity4Trial2Camera1,28,87,Fall
Subject1Activity4Trial2Camera2,3,17,Normal
Subject1Activity4Trial2Camera2,18,27,Pre-fall
Subject1Activity4Trial2Camera2,28,87,Fall
Subject1Activity4Trial3Camera1,6,20,Normal
Subject1Activity4Trial3Camera1,21,31,Pre-fall
Subject1Activity4Trial3Camera1,32,91,Fall
Subject1Activity4Trial3Camera2,6,20,Normal
Subject1Activity4Trial3Camera2,21,32,Pre-fall
Subject1Activity4Trial3Camera2,33,92,Fall
Subject2Activity1Trial1Camera1,2,16,Normal
Subject2Activity1Trial1Camera1,17,33,Pre-fall
Subject2Activity1Trial1Camera1,34,93,Fall
Subject2Activity1Trial1Camera2,3,17,Normal
Subject2Activity1Trial1Camera2,18,33,Pre-fall
Subject2Activity1Trial1Camera2,34,93,Fall
Subject2Activity1Trial2Camera1,5,19,Normal
Subject2Activity1Trial2Camera1,20,34,Pre-fall
Subject2Activity1Trial2Camera1,35,94,Fall
Subject2Activity1Trial2Camera2,13,27,Normal
Subject2Activity1Trial2Camera2,28,34,Pre-fall
Subject2Activity1Trial2Camera2,35,94,Fall
Subject2Activity1Trial3Camera1,4,18,Normal
Subject2Activity1Trial3Camera1,19,34,Pre-fall
Subject2Activity1Trial3Camera1,35,94,Fall
Subject2Activity1Trial3Camera2,7,21,Normal
Subject2Activity1Trial3Camera2,22,33,Pre-fall
Subject2Activity1Trial3Camera2,34,93,Fall
Subject2Activity2Trial1Camera1,5,19,Normal
Subject2Activity2Trial1Camera1,20,36,Pre-fall
Subject2Activity2Trial1Camera1,37,96,Fall
Subject2Activity2Trial1Camera2,6,20,Normal
Subject2Activity2Trial1Camera2,21,34,Pre-fall
Subject2Activity2Trial1Camera2,35,94,Fall
Subject2Activity2Trial2Camera1,14,28,Normal
Subject2Activity2Trial2Camera1,29,30,Pre-fall
Subject2Activity2Trial2Camera1,31,90,Fall
Subject2Activity2Trial2Camera2,4,18,Normal
Subject2Activity2Trial2Camera2,19,29,Pre-fall
Subject2Activity2Trial2Camera2,30,89,Fall
Subject2Activity2Trial3Camera1,7,21,Normal
Subject2Activity2Trial3Camera1,22,27,Pre-fall
Subject2Activity2Trial3Camera1,28,87,Fall
Subject2Activity2Trial3Camera2,5,19,Normal
Subject2Activity2Trial3Camera2,20,26,Pre-fall
Subject2Activity2Trial3Camera2,27,86,Fall
Subject2Activity3Trial1Camera1,12,26,Normal
Subject2Activity3Trial1Camera1,27,29,Pre-fall
Subject2Activity3Trial1Camera1,30,89,Fall
Subject2Activity3Trial1Camera2,4,18,Normal
Subject2Activity3Trial1Camera2,19,27,Pre-fall
Subject2Activity3Trial1Camera2,28,87,Fall
Subject2Activity3Trial2Camera1,4,18,Normal
Subject2Activity3Trial2Camera1,19,31,Pre-fall
Subject2Activity3Trial2Camera1,32,91,Fall
Subject2Activity3Trial2Camera2,9,23,Normal
Subject2Activity3Trial2Camera2,24,30,Pre-fall
Subject2Activity3Trial2Camera2,31,90,Fall
Subject2Activity3Trial3Camera1,16,30,Normal
Subject2Activity3Trial3Camera1,31,33,Pre-fall
